,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Ponta Do Sol,PT,32.6667,-17.1,72.23,73,2,4.83,clear sky
1,Ushuaia,AR,-54.8,-68.3,37.02,93,100,27.63,sleet
2,Avarua,CK,-21.2078,-159.775,73.45,64,100,9.22,overcast clouds
3,Pangkalanbuun,ID,-2.6833,111.6167,72.77,99,91,2.28,overcast clouds
4,Fort Nelson,CA,58.8053,-122.7002,67.62,49,100,11.56,light rain
5,Morondava,MG,-20.2833,44.2833,71.89,78,0,7.9,clear sky
6,Guerrero Negro,MX,27.9769,-114.0611,75.74,58,10,15.35,clear sky
7,Bilibino,RU,68.0546,166.4372,50.7,55,96,1.59,overcast clouds
8,Castro,BR,-24.7911,-50.0119,66.87,60,100,3.8,overcast clouds
9,Tuktoyaktuk,CA,69.4541,-133.0374,50.0,100,100,12.66,light rain
10,Rock Sound,BS,24.9,-76.2,82.54,76,11,14.83,few clouds
11,Salisbury,GB,51.0693,-1.7957,68.45,75,75,11.5,broken clouds
12,Novorudnyy,RU,51.5026,58.1873,65.19,66,81,6.51,broken clouds
13,Ambilobe,MG,-13.2,49.05,65.35,83,11,3.67,few clouds
14,Saint-Philippe,RE,-21.3585,55.7679,69.39,85,54,13.31,light rain
15,Tonder,DK,54.9331,8.8667,59.04,77,11,8.16,few clouds
16,Arshan,RU,46.2732,44.22,62.98,67,44,8.95,scattered clouds
17,Amalapuram,IN,16.5833,82.0167,77.59,84,67,5.32,broken clouds
18,Aksu,CN,41.1231,80.2644,85.73,14,0,4.29,clear sky
19,Beringovskiy,RU,63.05,179.3167,44.78,84,100,16.24,overcast clouds
20,Murray Bridge,AU,-35.1167,139.2667,54.34,81,0,6.73,clear sky
21,Dudinka,RU,69.4058,86.1778,67.62,67,75,9.22,broken clouds
22,Saskylakh,RU,71.9167,114.0833,50.86,88,73,1.9,broken clouds
23,Korla,CN,41.7597,86.1469,86.67,17,0,2.06,clear sky
24,Tefe,BR,-3.3542,-64.7114,87.91,70,75,5.75,broken clouds
25,Qaanaaq,GL,77.484,-69.3632,37.78,98,100,2.95,overcast clouds
26,Provideniya,RU,64.3833,-173.3,44.76,81,99,8.61,overcast clouds
27,Touros,BR,-5.1989,-35.4608,78.08,80,61,17.13,broken clouds
28,Maamba,ZM,-17.3667,27.15,63.21,45,3,3.22,clear sky
29,Lata,PT,40.1629,-8.3327,67.84,60,0,3.56,clear sky
30,Coquimbo,CL,-29.9533,-71.3436,55.13,82,100,3.44,overcast clouds
31,Butaritari,KI,3.0707,172.7902,81.88,74,22,14.32,few clouds
32,Busselton,AU,-33.65,115.3333,50.54,66,70,13.53,broken clouds
33,Villablino,ES,42.9393,-6.3194,64.83,81,0,3.02,clear sky
34,Hovd,MN,48.0056,91.6419,60.01,48,6,3.6,clear sky
35,Rikitea,PF,-23.1203,-134.9692,72.25,67,0,7.52,clear sky
36,Hobart,AU,-42.8794,147.3294,48.27,94,100,4.61,overcast clouds
37,Pacific Grove,US,36.6177,-121.9166,67.01,82,40,10.36,scattered clouds
38,Ilulissat,GL,69.2167,-51.1,44.62,100,75,1.14,light intensity drizzle
39,Xichang,CN,27.8964,102.2634,62.67,94,97,1.36,overcast clouds
40,Punta Arenas,CL,-53.15,-70.9167,39.31,56,0,10.36,clear sky
41,Sabang,ID,5.8933,95.3214,80.8,80,100,9.15,overcast clouds
42,Cidreira,BR,-30.1811,-50.2056,63.21,97,36,9.71,scattered clouds
43,Kapaa,US,22.0752,-159.319,80.92,71,20,14.97,few clouds
44,Palmer,US,42.1584,-72.3287,95.23,23,1,7.11,clear sky
45,Chuy,UY,-33.6971,-53.4616,63.05,92,67,7.54,broken clouds
46,Vaini,TO,-21.2,-175.2,71.58,70,100,24.18,overcast clouds
47,Westport,US,41.1415,-73.3579,96.94,44,0,11.5,clear sky
48,Siocon,PH,7.7061,122.1353,78.06,88,55,3.56,broken clouds
49,Mutsu,JP,41.2894,141.2169,67.68,94,85,8.05,light rain
50,Ponta Delgada,PT,37.7333,-25.6667,72.32,83,75,6.91,broken clouds
51,Omsukchan,RU,62.5333,155.8,52.18,59,0,6.69,clear sky
52,Sur,OM,22.5667,59.5289,88.2,65,37,13.4,scattered clouds
53,Port Alfred,ZA,-33.5906,26.891,58.78,66,100,18.9,light rain
54,Sechura,PE,-5.5569,-80.8222,73.78,63,15,14.56,few clouds
55,Mayo,US,38.8876,-76.5119,99.1,56,0,3.0,clear sky
56,Cuiluan,CN,47.72,128.648,57.24,99,50,3.31,scattered clouds
57,Lompoc,US,34.6391,-120.4579,84.02,77,20,14.0,few clouds
58,Vardo,NO,70.3705,31.1107,51.78,87,100,8.05,overcast clouds
59,Tiksi,RU,71.6872,128.8694,47.52,83,35,2.93,scattered clouds
60,Nhulunbuy,AU,-12.2333,136.7667,66.81,94,89,3.44,overcast clouds
61,Saint George,US,37.1041,-113.5841,102.79,18,0,11.01,clear sky
62,Luderitz,NA,-26.6481,15.1594,60.39,63,0,23.53,clear sky
63,San Quintin,MX,30.4833,-115.95,71.92,64,48,10.36,scattered clouds
64,Naze,JP,28.3667,129.4833,76.12,75,100,1.39,overcast clouds
65,North Myrtle Beach,US,33.816,-78.68,90.34,74,0,16.11,clear sky
66,Surt,LY,31.2089,16.5887,80.96,69,0,11.21,clear sky
67,Sestroretsk,RU,60.098,29.9638,68.14,95,8,6.87,clear sky
68,Puerto Ayora,EC,-0.7393,-90.3518,78.76,84,85,8.99,overcast clouds
69,Biaora,IN,23.8667,76.9167,77.07,91,100,8.01,light rain
70,Tamandare,BR,-8.7597,-35.1047,76.1,82,43,10.78,scattered clouds
71,Bredasdorp,ZA,-34.5322,20.0403,47.71,77,17,4.54,few clouds
72,Arraial Do Cabo,BR,-22.9661,-42.0278,72.46,83,2,19.82,clear sky
73,Leningradskiy,RU,69.3833,178.4167,34.7,93,100,8.84,overcast clouds
74,Mataura,NZ,-46.1927,168.8643,31.48,89,100,2.15,overcast clouds
75,Bengkulu,ID,-3.8004,102.2655,75.13,92,98,5.53,overcast clouds
76,Cape Town,ZA,-33.9258,18.4232,56.37,69,20,11.5,few clouds
77,Sao Filipe,CV,14.8961,-24.4956,78.01,84,100,5.06,light rain
78,Atuona,PF,-9.8,-139.0333,77.25,78,45,18.9,light rain
79,Hilo,US,19.7297,-155.09,84.27,99,100,5.75,moderate rain
80,Hamilton,US,39.1834,-84.5333,92.88,49,0,3.44,clear sky
81,Jalu,LY,29.0331,21.5482,86.77,27,0,13.96,clear sky
82,Lebu,CL,-37.6167,-73.65,53.6,90,100,5.75,overcast clouds
83,Tuatapere,NZ,-46.1333,167.6833,38.43,94,65,2.86,broken clouds
84,Bluff,NZ,-46.6,168.3333,31.8,82,78,5.84,broken clouds
85,Tura,IN,25.5198,90.2201,74.07,99,100,4.83,moderate rain
86,Tutoia,BR,-2.7619,-42.2744,80.98,79,71,10.67,broken clouds
87,Hermanus,ZA,-34.4187,19.2345,46.8,71,36,4.7,scattered clouds
88,Yellowknife,CA,62.456,-114.3525,68.56,45,75,19.57,broken clouds
89,Namibe,AO,-15.1961,12.1522,63.91,89,54,1.97,broken clouds
90,Nanortalik,GL,60.1432,-45.2371,44.83,90,89,10.74,overcast clouds
91,Hithadhoo,MV,-0.6,73.0833,81.25,74,100,7.27,overcast clouds
92,Egvekinot,RU,66.3167,-179.1667,38.35,75,100,8.93,overcast clouds
93,Bandarbeyla,SO,9.4942,50.8122,76.59,83,32,29.86,scattered clouds
94,Siparia,TT,10.1333,-61.5,88.83,73,52,3.0,broken clouds
95,Weligama,LK,5.9667,80.4167,78.44,87,82,14.09,broken clouds
96,Unai,BR,-16.3575,-46.9061,82.56,29,0,5.37,clear sky
97,Nikolskoye,RU,59.7035,30.7861,67.91,97,13,2.42,few clouds
98,San Patricio,US,28.017,-97.5169,95.72,43,23,20.04,few clouds
99,Cam Ranh,VN,11.9214,109.1591,76.8,87,51,4.12,broken clouds
100,Margate,GB,51.3813,1.3862,70.7,56,95,1.99,overcast clouds
101,Aklavik,CA,68.2191,-135.0107,53.6,94,100,3.44,light rain
102,Padang,ID,-0.9492,100.3543,76.89,87,99,4.94,overcast clouds
103,Esperance,AU,-33.8667,121.9,53.26,85,100,27.92,light rain
104,Mantua,IT,45.1667,10.7833,90.21,76,99,9.55,overcast clouds
105,Ippy,CF,6.2679,21.2247,67.26,97,75,0.96,broken clouds
106,Berdychiv,UA,49.8993,28.6024,67.46,49,10,6.85,clear sky
107,Ostrovnoy,RU,68.0531,39.5131,51.26,81,96,2.48,overcast clouds
108,Northam,GB,51.0333,-4.2167,66.38,91,99,18.14,overcast clouds
109,Gondanglegi,ID,-7.7479,112.0132,72.81,88,99,14.45,overcast clouds
110,Bitam,GA,2.076,11.5007,67.95,99,87,2.93,overcast clouds
111,Pevek,RU,69.7008,170.3133,35.98,84,100,1.77,overcast clouds
112,Tazovskiy,RU,67.4667,78.7,54.66,96,12,7.16,few clouds
113,Saldanha,ZA,-33.0117,17.9442,48.25,66,0,21.27,clear sky
114,Brae,GB,60.3964,-1.353,53.49,85,100,12.01,overcast clouds
115,Buin,CL,-33.7333,-70.75,72.43,52,26,3.62,scattered clouds
116,Quatre Cocos,MU,-20.2078,57.7625,70.09,75,46,16.17,light rain
117,New Norfolk,AU,-42.7826,147.0587,47.91,84,100,1.9,overcast clouds
118,Torbay,CA,47.6666,-52.7314,83.17,71,75,12.66,broken clouds
119,East London,ZA,-33.0153,27.9116,57.78,73,79,21.72,light rain
120,Nishihara,JP,26.1842,127.7558,83.86,89,75,6.91,broken clouds
121,Tsogni,GA,-2.7942,10.0988,68.18,91,97,4.9,overcast clouds
122,Palmas Bellas,PA,9.2319,-80.0867,78.76,88,97,5.32,overcast clouds
123,Aripuana,BR,-9.1667,-60.6333,96.57,21,2,2.68,clear sky
124,Piterka,RU,50.6803,47.4454,66.54,70,86,6.73,overcast clouds
125,Meulaboh,ID,4.1363,96.1285,76.53,91,100,5.7,overcast clouds
126,Bambous Virieux,MU,-20.3428,57.7575,70.16,74,40,16.08,scattered clouds
127,Nagutskoye,RU,44.4415,42.8762,64.62,77,82,9.24,broken clouds
128,Chipinge,ZW,-20.1883,32.6236,54.41,68,0,4.25,clear sky
129,San Jeronimo,PE,-11.9472,-75.2829,65.68,27,97,3.62,overcast clouds
130,Thompson,CA,55.7435,-97.8558,64.56,55,75,8.05,broken clouds
131,Mar Del Plata,AR,-38.0023,-57.5575,55.87,86,100,4.76,overcast clouds
132,Lakatoro,VU,-16.0999,167.4164,78.4,82,1,3.44,clear sky
133,Carutapera,BR,-1.195,-46.02,81.77,75,99,7.81,overcast clouds
134,Ellensburg,US,46.9965,-120.5479,87.94,24,0,11.5,clear sky
135,Nampula,MZ,-15.1165,39.2666,67.95,88,20,4.61,few clouds
136,Port Elizabeth,ZA,-33.918,25.5701,53.89,84,0,12.66,clear sky
137,Chokurdakh,RU,70.6333,147.9167,51.04,55,92,12.01,overcast clouds
138,Nome,US,64.5011,-165.4064,47.16,93,100,10.36,light rain
139,Mahebourg,MU,-20.4081,57.7,70.25,78,40,14.97,scattered clouds
140,Vrangel,RU,42.7297,133.0839,62.85,94,100,9.78,overcast clouds
141,Domoni,KM,-12.2569,44.5319,74.3,76,71,4.03,broken clouds
142,Lorengau,PG,-2.0226,147.2712,81.03,80,21,5.61,few clouds
143,Alyangula,AU,-13.8483,136.4192,65.41,82,20,4.76,few clouds
144,Acapulco,MX,16.8634,-99.8901,86.94,66,100,5.53,overcast clouds
145,Rohnert Park,US,38.3396,-122.7011,83.34,45,0,4.61,clear sky
146,Marawi,PH,7.9986,124.2928,69.1,92,100,3.24,light rain
147,San Cristobal,VE,7.7669,-72.225,84.4,37,20,7.36,few clouds
148,Mitsamiouli,KM,-11.3847,43.2844,76.05,71,32,4.74,scattered clouds
149,Khorinsk,RU,52.1657,109.7726,55.27,93,6,0.78,clear sky
150,Tatawin,TN,32.9297,10.4518,77.52,42,0,11.12,clear sky
151,Bethel,US,41.3712,-73.414,94.73,23,14,6.02,few clouds
152,Albany,US,42.6001,-73.9662,96.44,36,9,8.55,clear sky
153,Loubomo,CG,-4.1997,12.6739,71.1,73,85,5.68,overcast clouds
154,Vila Franca Do Campo,PT,37.7167,-25.4333,72.01,77,93,4.05,overcast clouds
155,Esso,RU,55.9333,158.7,59.92,59,5,4.63,clear sky
156,Diego De Almagro,CL,-26.3667,-70.05,70.03,24,23,5.06,few clouds
157,Rio Gallegos,AR,-51.6226,-69.2181,33.85,75,0,13.8,clear sky
158,Necochea,AR,-38.5473,-58.7368,59.11,73,100,1.1,overcast clouds
159,Aksay,RU,47.26,39.87,70.25,59,9,7.0,clear sky
160,Hearst,CA,49.6835,-83.6665,71.85,61,96,10.02,overcast clouds
161,Constitucion,CL,-35.3333,-72.4167,57.47,79,100,2.28,overcast clouds
162,Mehamn,NO,71.0357,27.8492,51.75,87,100,16.11,overcast clouds
163,Denpasar,ID,-8.65,115.2167,76.71,78,40,11.5,scattered clouds
164,Mahajanga,MG,-15.7167,46.3167,75.22,57,20,8.05,few clouds
165,Zaozerne,UA,45.1582,33.2787,71.31,75,0,9.73,clear sky
166,Belyy Yar,RU,53.6039,91.3903,53.85,94,4,0.0,fog
167,Upernavik,GL,72.7868,-56.1549,42.98,96,100,4.79,overcast clouds
168,Souillac,MU,-20.5167,57.5167,70.18,78,40,14.97,scattered clouds
169,Lexington,US,37.9887,-84.4777,94.89,50,0,4.61,clear sky
170,Storslett,NO,69.7678,21.0247,51.8,87,75,8.05,broken clouds
171,Sambava,MG,-14.2667,50.1667,67.78,86,64,10.96,broken clouds
172,Moultrie,US,31.1799,-83.7891,93.07,49,0,0.0,clear sky
173,Nakamura,JP,32.9833,132.9333,71.69,90,100,2.33,overcast clouds
174,Kavaratti,IN,10.5669,72.642,81.1,77,58,18.57,broken clouds
175,Kovdor,RU,67.5662,30.4758,52.61,79,80,5.35,broken clouds
176,Puerto Quijarro,BO,-17.7833,-57.7667,95.83,20,91,4.65,overcast clouds
177,Fort-Shevchenko,KZ,44.5086,50.263,75.31,64,37,11.34,scattered clouds
178,Clarence Town,AU,-32.5833,151.7833,52.86,97,37,2.57,scattered clouds
179,Narsaq,GL,60.9167,-46.05,50.97,73,98,6.82,overcast clouds
180,Havre-Saint-Pierre,CA,50.2334,-63.5986,77.36,61,0,8.05,clear sky
181,Labuhan,ID,-6.8844,112.2051,75.72,84,79,6.31,broken clouds
182,Majene,ID,-3.5403,118.9707,76.53,88,35,12.62,scattered clouds
183,Chaman,PK,30.9236,66.4512,87.98,38,100,5.77,overcast clouds
184,Coihaique,CL,-45.5752,-72.0662,31.95,69,75,0.0,broken clouds
185,Olafsvik,IS,64.8945,-23.7142,52.52,80,88,9.4,overcast clouds
186,Lasa,IT,46.6166,10.7002,68.88,90,90,1.86,overcast clouds
187,Vicuna,CL,-30.0319,-70.7081,68.47,49,0,4.05,clear sky
188,Ngunguru,NZ,-35.6167,174.5,57.31,79,100,22.15,moderate rain
189,Steamboat Springs,US,40.485,-106.8317,83.01,34,0,4.61,clear sky
190,Troitskoye,RU,52.9821,84.6757,56.61,76,88,6.76,overcast clouds
191,Villefranche-De-Rouergue,FR,44.3333,2.0,74.17,49,0,2.42,clear sky
192,Yasothon,TH,15.75,104.1333,83.98,81,100,2.48,overcast clouds
193,Shelburne,CA,44.0787,-80.2041,85.3,45,39,17.0,scattered clouds
194,Marsh Harbour,BS,26.5412,-77.0636,83.55,71,0,13.06,clear sky
195,Vysotsk,RU,60.6288,28.5705,63.64,88,26,10.8,scattered clouds
196,Hervey Bay,AU,-25.2986,152.8535,57.96,85,8,13.24,clear sky
197,Itanagar,IN,27.1,93.6167,75.63,90,97,2.08,overcast clouds
198,Nyaunglebin,MM,17.95,96.7333,75.31,92,97,1.66,overcast clouds
199,Codrington,AU,-38.2667,141.9667,46.42,94,6,6.53,clear sky
200,Jogbani,IN,26.4167,87.25,79.45,91,100,9.75,overcast clouds
201,Bathsheba,BB,13.2167,-59.5167,85.05,78,40,14.97,scattered clouds
202,Gannan,CN,47.9147,123.5031,65.59,92,100,5.08,overcast clouds
203,Baneh,IR,35.9975,45.8853,67.12,21,0,0.89,clear sky
204,Byron Bay,AU,-28.65,153.6167,54.95,85,69,11.01,broken clouds
205,Aitape,PG,-3.1374,142.3475,77.04,90,19,4.05,few clouds
206,Makakilo City,US,21.3469,-158.0858,82.72,57,20,12.66,few clouds
207,Eyl,SO,7.9803,49.8164,77.0,79,100,25.34,overcast clouds
208,Homer,US,59.6425,-151.5483,57.78,56,0,3.44,clear sky
209,Zhigansk,RU,66.7697,123.3711,51.57,91,38,6.78,scattered clouds
210,Kadoma,JP,34.7333,135.5833,75.18,73,100,5.75,overcast clouds
211,Pakxe,LA,15.1167,105.7833,73.72,95,92,2.44,light rain
212,Turbat,PK,26.0023,63.044,83.73,75,100,10.04,overcast clouds
213,Cabo San Lucas,MX,22.8909,-109.9124,82.51,80,82,7.34,broken clouds
214,Sorland,NO,67.667,12.6934,53.46,85,82,10.45,broken clouds
215,Velsk,RU,61.0701,42.0983,65.32,74,8,5.75,clear sky
216,Norman Wells,CA,65.282,-126.8329,60.96,74,100,4.03,light rain
217,Panama City,PA,8.9936,-79.5197,81.54,80,100,2.21,overcast clouds
218,San Martin,AR,-33.081,-68.4681,72.14,18,0,4.5,clear sky
219,Nanakuli,US,21.3906,-158.1547,84.15,56,20,9.22,few clouds
220,Mount Gambier,AU,-37.8333,140.7667,49.91,100,100,10.36,overcast clouds
221,Taltal,CL,-25.4,-70.4833,61.92,71,33,6.15,scattered clouds
222,Faanui,PF,-16.4833,-151.75,79.47,72,5,13.18,clear sky
223,Salalah,OM,17.0151,54.0924,77.4,90,57,6.85,broken clouds
224,Rapar,IN,23.5667,70.6333,81.61,84,100,18.32,overcast clouds
225,Jamestown,US,42.097,-79.2353,85.37,51,100,12.24,overcast clouds
226,Conceicao Do Araguaia,BR,-8.2578,-49.2647,95.65,20,10,5.23,clear sky
227,Carnarvon,AU,-24.8667,113.6333,66.69,54,76,20.02,broken clouds
228,Henties Bay,NA,-22.116,14.2845,56.39,84,0,3.96,clear sky
229,Kincardine,GB,56.0667,-3.7167,68.27,95,100,7.4,overcast clouds
230,Shache,CN,38.4167,77.2406,85.48,10,0,5.14,clear sky
231,Pemangkat,ID,1.1667,108.9667,78.93,80,100,3.56,overcast clouds
232,Tandil,AR,-37.3217,-59.1332,60.13,82,88,6.42,overcast clouds
233,Kahului,US,20.8947,-156.47,82.42,68,20,18.41,few clouds
